msno,is_churn
ch/ja1P6a/z5QqwdHUDXpHTRxgS7AGYFPTw0SxElZuo=,0
TN2Fa7bu+HmmDAqqOxlXr7CTBMiLLyxN2y39WchI174=,0
WtbCO3xefFurQsAqHUHP6p0cyrOsBbuVhlw4AgWxmgk=,0
rw5Dfpzn4lpU/stlFTepkwYLpYVzvBi9Fw0R5/fQY9w=,0
R3973sWvN8DCtQ/s+RrAeXVMQkcKG7rdc/yBfXGDt8A=,0
DwWmRToHNZe2/zQQgCOq2Iu1esxrPJ907hZTEqIt5cE=,1
buvMORx1GiUtusGDPddQJD8AZyIyu3jzjBsdL66q3RM=,0
em5MDodpBrU0rosTjMxsCJi99WTcNeejKw4WLSRz3p8=,0
LtxjbGg0Szf85i0HcTz418CUQeDHpNBXkupqbJ8tL0c=,0
ksQDI2srDGhBUckRVhAr9n8NU8jCSVXeXXB3n2Lu6XA=,0
nGcFFBvAoDsT1RJ2j/l9MtzQ/d61bbN7mjNL0UeLRpY=,0
Sz6nUi9kE/EdKD3bHwVuIoLKDhgZD2jGD8+MkgPcYdo=,0
tRm7+gF90OHaDxERb3M6Id43Qz9vFWyecs76zjFWVXg=,0
fWS7BgScy8YUoyogYkFjVJBtytBqGJLytqS/10Aeqj0=,0
QbKIz+LYan1ExtfWWFky4gx2v5mdwWpHmLYAkCykuyw=,0
5b3jJTZmw29Xq+zQXiN7gS4FQImYhHxTs2SSdRUliB4=,1
icSJ3/D4yC9htwbD/eRO8idMR1yCbdL3IaqbVkICdMw=,0
C7KvDOicTIsF7pjhQPYF2YvBLZJUk/pFtBjXvPncllk=,0
LI/4vhOJDZGfL0RiIMre3hM8+xsk5yWwieiU5NPfawg=,1
RXZJQ1zsOu0AdBvc7+X2juYy346jG6sZPXyK/um6HMg=,0
DztHrRGy4unvPf7xz9McfxsulmNZt4UrU7f5fcRAeGI=,0
mFFj/vHT5D3Pi/c14P1mHgbc/lfisTbFJusj9L63bg8=,0
WE6bWFvcjgQ/wyATHBO4lBytB/FjnvbpVegY9G+MpNA=,0
dxc+7vrZiT9mTChIL2tS5KWm4UjQ5c3zc5+SSSjWdTw=,0
k/w/VyVlJjXEleUD1M9cmUoxboMuyHAegdJ2uh45ohk=,1
RX4FyEuWIF3RKXbkM3BqosY8ZvnF7H/6tR0UCBcgawc=,0
1GJhTl/BQwQPeFryYFfXjNamlj/JWklJsj5NJFV3tK4=,0
