msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
Ch7NqjDXza72yHS+B7vrPQ2HkmW+2ryOxz8iReEkV68=,41,30,99,99,1,20170301,20170401,0
1CY7VbnlpoH9Bm7ovixzx2u0DBCSMlb7qOlCWt1VAsI=,41,30,99,99,1,20170317,20170417,0
j1WAyf+79TEz9nqbLwzNNkohU4GJEko8UGqaOFr95YM=,41,30,99,99,1,20170329,20170501,0
eHh+/ctZ2zIWXzJ/HR5CmWh1bnj/Vzod1GHEHUjM3y4=,41,30,149,149,1,20151201,20171221,0
FSVsa6FaoA4iJnd5t5+C+pPLvzMTeNoJpBzSZ4leWGY=,29,30,180,180,1,20170309,20170411,0
KPDKKxCiSXTmuiCZQUncIiyFrkjXpoUelF7JhVs2Sy4=,32,180,536,536,0,20170219,20170819,0
Wl9ZqGweBlVg1LIXPfl0NrX4ygG9MFOVibiiSWECcRQ=,41,30,99,99,1,20170312,20170412,0
pOUDIlxm0mY8BetIZoMsf4fFQ7LVZLLIn6Ef/yVaI2A=,13,195,894,894,0,20161115,20170529,0
r9lOW6FkeUtJJ7KhmjR0/cK4GkDSY1uPeNF2YSVVZU4=,41,30,100,100,1,20170326,20170426,0
w0ve62eMXAKzfHKtPSpgYTHEE71E4MfG64lIcJ6eSms=,35,7,0,0,0,20170220,20180503,0
bxj6bqg8UxufZO6EX81hzDtMzTK8uh2OK+eAsuIoFfA=,36,30,180,180,1,20170328,20170427,0
qxKNG7BDqbtGotxmQ/94ZEFJ52v7uGyyu4foshiAtZM=,32,400,1599,1599,0,20170312,20180419,0
/tD1OHUkwsWw4bOOcd4GLPwWa6buEdu7WrS+Wzu328s=,41,30,149,149,1,20170303,20170403,0
N9gNU56Bj92Y/IV7+V8C2NqJUqiNuFemYDkN7zJ3u7Q=,41,30,99,99,1,20170318,20170418,0
ql6cgBLeAhozjDbVcovl+HzP/ToeO5LPuKalaYqGFUM=,36,30,180,180,1,20170302,20170403,0
RKuJ+L+Ekj+1PytxTBgI0V05kTT3/po/c4Haohi1LiY=,39,30,149,149,1,20170228,20170418,0
180q7dMCBayw7hhBJoy4zBlgmonXwJX2Qu05RzL6BB8=,41,30,129,129,1,20170304,20170404,0
2AkAsaiSknE7FGvTPNUxBZYerwYj8gMcs1Dv7zOTpsg=,40,30,149,149,1,20170312,20170411,0
VASzs3XN85fgtbTQ9aWXtE4bfwRvtt1aQ1J+Kgd5qDk=,41,30,149,149,1,20170331,20170501,0
B/pdtT98XURTfPkeU18uMkqL1uPBnaquxyPgi078i5Y=,41,30,149,149,1,20170228,20170401,0
EvbgDGN4k/a9XJMA+KSoOvsBqevq+QDBMhEC8MQXaP8=,6,410,1788,1788,0,20160419,20170609,0
NqO314DNMX/wiM7oKitM48FXvVoXQDRjd+pLqMwZYQM=,39,30,149,149,1,20170331,20170505,0
ngSAer3lKROkgpt2VgGtMnWQFqbanOYO2PrAo5A8x8Q=,40,30,149,149,1,20170305,20170410,0
r/lpaynWxQIUJOOHnZe2rCawpZRCinDt7WoF8KTDsGA=,41,30,99,99,1,20170317,20170417,0
fUWgKGrOLSuyjZhj9lgxUzQbrrOmzKINOG7BJpf/Sls=,41,30,100,100,1,20170314,20170414,0
BnfK3TU0ERWQv9RapFHmxs0DzJSGDvYpkAkPNhES5EM=,22,410,1788,1788,0,20160322,20170513,0
almu/TIsn1TaPYvY61Xr0+EvU7hY3+141hihK34LeFU=,40,30,149,149,1,20170301,20170331,0
PWtctf3qjCdcyI4ZfMlakr6pNT3+4zKA/EYGB1kiNF4=,38,195,894,894,0,20161124,20170607,0
NiZHyssEGKFayfAltz/U22NNTpF3qx1EwkIw8EclEaQ=,41,30,99,99,1,20170308,20170408,0
UsI65kZAkT0941ButQlq6fdmzTnawleL10FPlIhB1LM=,39,30,149,149,1,20170228,20170425,0
3GKaC+X+VzlJ/OsWRhUt8EoOovZc6UPGrzEebOuHI6w=,41,30,99,99,1,20170306,20170306,1
ShOdX7yP6HGiMgZi73Wco5003JfAY3MmI7vjANzHIzs=,40,30,149,149,1,20170303,20170402,0
SKJ04YUBePUjqGZG9ogzdNolmpoeFTaNl8OSuIzxOKg=,36,30,180,180,1,20170318,20170417,0
0zFqJYnNf6I7SeHC8q1BJQ9J8ADvO3o/yTWY+ICu+Zs=,27,30,149,149,1,20170315,20170416,0
YQf2HBGShSThYsjziQAX4fFZDsSWmG2Vv9tNZOUiHLs=,34,30,149,149,1,20170331,20170430,0
PHQmz9bIJ99Lxm36JNNGxbZX4PGX0ax3Q7A+Leut9fQ=,36,30,180,180,0,20170321,20170420,0
KFd8E9bppxTetfzNvCYNIFCsJfHXu1Q88HzJmew/1SQ=,41,30,149,149,1,20170304,20170404,0
x7MuLnKZ8TQu4v5hCYdj4ZECU+h0DkYgpsQ876dNSfk=,41,30,99,99,1,20170314,20170414,0
PlpLFZVNVyF9VPfQc7vDNuY/Y4scyahrNqEND6HH+30=,41,30,99,99,1,20170314,20170414,0
YI/LlQeU8yXiV3T6KFkqVIxPnxXzAh19pEr+AXvWSe0=,41,30,149,149,1,20170322,20170422,0
L+zVPiwMR4joe+s7DJp9OJtKl5+82L+uTBUGfxGaUBg=,38,30,149,149,0,20170305,20170404,0
