msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
vkmy80teSIiCGlEBZsCEfXGhv3A+smFQfXfrxH59jNU=,20170315,43,12,3,2,90,86,24536.749
5pTVC8NVNUMRoL99mJHCMwox7WUL0stVViKu9z/0tpw=,20170307,3,0,1,1,4,3,1307.734
bm0viD6tQu7WNDdbfZT+xxYWR6Bnzaez5qv9aKW32GI=,20170316,2,0,0,2,71,58,16980.324
i2l+clg1PqwwMOZ0nxTsrjDgASXsrCauD2hDF3VJRRI=,20170322,2,0,0,1,2,5,736.131
TYIT/WLw8/Ga+9tG7yez5gOuWEfIpkBy3w1/M8ATOuw=,20170304,10,6,1,1,18,31,5973.181
L+9NAcei5kx+enVaGDvZwSHefhj+3B9nG1qbJmMkJVw=,20170308,4,2,2,0,26,30,7044.213
8WXT/wDqhDy6VALFodEAxeC3DKTgn1MqMDPF1fgZ5sw=,20170319,2,0,1,0,8,9,2127.191
MVRdF+Taq/mxSIKooHS7kXlmG3mhuvepLFJyw9pXBkM=,20170307,28,18,4,6,75,92,22422.46
SY7h6PJLR6sCurru6DHOVxaVXhqaRCN8Ja5o/59wlqQ=,20170317,11,9,6,9,60,42,17710.835
2kBgCUE3/afqEULG82yrw4iXcNT9S4eSeDEmA9t1m5g=,20170317,1,0,0,1,85,87,20513.215
5rjmdWpSIikm4U0mO+z4cUwb5Xgx1YpBiDD6VP6ibXI=,20170329,17,2,3,5,102,103,26717.233
OFbI/0OGoqsWSBFMXvrbe8uWaCzeuxdecbr4hssGTmA=,20170325,2,1,0,1,18,21,4444.42
eLGaDj3fKXnpfOWZoBu3w574eOxg6bDg2Urqj3mlr7c=,20170316,18,5,4,2,46,69,11792.423
mB9xz9DvBMxog/ZGCtmepbLy7hCa+swEsarDjYvptDg=,20170314,0,0,0,0,19,18,4157.598
ki7adEICGB8DWZH/anWiLi1079w0Lt/SrRtla6WPm+0=,20170317,3,2,1,0,1,7,715.987
joMlZpkkY+GAmPVHmrI4g1ftdRjbndrh8A1wJnAMd3E=,20170307,3,1,1,3,80,86,20563.325
vWQKiTz4gFaDtmHXcM/PGhVtE1Q2pgGwqDtXvSaBT3Q=,20170322,15,6,3,0,3,24,2131.198
j1pP5xmOFieGYKwwzoTvDqMqJqjPVeg1S+jgSLkqUOs=,20170312,15,0,1,1,10,22,3015.03
nObnJp/EWzmHn+G+ycLfXBvmmsCTBg2OdxInMjHelBo=,20170309,8,4,0,2,70,57,19147.878
ow+Ekdw/yyTq8xKcQo62Uu2W9Du8JO+aiXcwq4Nht5g=,20170320,11,5,4,0,12,23,4410.742
EhVVK165Bsyl72cYbwxPUMXfA3WjkTt0W+lfFop7X08=,20170301,3,1,0,1,94,99,24558.313
4LveP6dXQgJbZZJVt0hq5WzWZC2DQ2O08GJORbZkQl4=,20170328,0,1,0,0,10,10,2486.996
lB+5XS4Y1dy3l9ivcX9Ua5BzClmFfGkimhVF+/HT+SM=,20170327,10,4,1,1,39,49,11038.598
DI4EJrjYCzU61M9lTSllju5ytAQ6LQE4SsH+CBq8kcc=,20170321,29,3,1,2,18,44,4671.566
dtDD2b0QHsr7C3ZFjVRp3m0I6mDwyqCY83RLApVG1nE=,20170313,0,1,1,0,3,4,1102.001
cd7tmX1c9ba19e+bcmNSXeb2Zxy5dd0GqyhuZVLvVjc=,20170307,1,0,0,0,26,22,5989.28
we5y5JU/rjTAlRAj07dD1Vq4T0JYtR2sMLAnoLZhEjU=,20170321,10,4,1,2,38,46,9520.826
1qRToyeW/mEGdSOZVjNUNTUCq8X66ZoGYt3UfcIaYqg=,20170326,8,3,0,0,85,95,22074.308
96bpK0+g60brG1CMaonahykAAq4LuiJeA4LIw4nrM14=,20170324,3,0,0,0,8,11,2022.258
1jZ0eS22JCDL5sBik48vxLFPq7o2nIwL1ecIT5I9XQc=,20170325,12,0,0,2,34,40,9110.482
/ZLzgsgebjc4zmGACpGfMNc8ffq22n3h0GhKdCAHabs=,20170302,2,1,1,1,20,24,5300.321
kd9Zr3PjbF7Xx4fEx/r+KrfeeqPrj1x/eJ7RiOpkz/Y=,20170312,0,0,2,0,8,8,2186.096
/eT+TTunq1y7FDMC5XbDzfTiq4qj8cRiQK64YXxWbVI=,20170316,3,0,3,2,5,12,2047.296
